solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type,chromosome_num
0.791507893,203.9238816,43.02662313,0.961432163,2923,1454,0.497434143,87.46870018,24.05758131,0.275042172,1151,0,1
0.855803048,213.5218613,43.11530744,0.976387669,4544,1460,0.321302817,95.51325137,20.63332079,0.21602574,1249,0,1
0.830489192,197.1665222,43.11530744,0.957163088,3024,1460,0.482804233,83.12425497,24.06857345,0.289549343,1213,0,1
0.862369338,227.9238816,43.48287851,0.984012725,2852,1485,0.520687237,106.2754199,18.92745745,0.178098167,1281,0,1
0.755465175,197.9238816,43.49751675,0.872265427,2772,1486,0.536075036,71.57174224,35.00092551,0.489032744,1123,0,1
0.892621476,183.5807358,43.52677845,0.938636377,3120,1488,0.476923077,75.54784446,26.05708048,0.344908325,1328,0,1
0.877790834,178.509668,43.61444577,0.910832942,2709,1494,0.551495017,70.16944273,28.9642045,0.412775182,1311,0,1
0.87638484,205.4386002,43.74561733,0.967449343,2916,1503,0.515432099,88.49442475,22.3948195,0.25306475,1317,0,1
0.694188192,227.0954544,43.77471319,0.787733757,3213,1505,0.468409586,70.50034112,43.42932756,0.61601585,1045,0,1
0.785007808,218.5512986,43.81832075,0.963981804,3320,1508,0.454216867,91.07655382,24.22346679,0.265968197,1184,0,1
0.916818458,179.0954544,43.84736837,0.932438655,2788,1510,0.541606887,74.46643359,26.90683127,0.361328319,1384,0,1
0.904591532,210.2497834,43.94888382,0.974783763,4615,1517,0.328710726,94.65345446,21.12206538,0.223151553,1372,0,1
0.885598142,194.6518036,44.06461512,0.957424557,3519,1525,0.43336175,83.05590622,23.97687741,0.288683593,1351,0,1
0.658703072,244.1665222,44.33826628,0.936934619,3440,1544,0.448837209,96.83205741,33.84325697,0.349504677,1017,0,1
0.822778073,218.4507935,44.36697348,0.975871364,4455,1546,0.347025814,99.05969407,21.62931163,0.218346239,1272,0,1
0.846743295,187.1959595,44.38132012,0.90762022,3000,1547,0.515666667,72.96498772,30.63013667,0.419792254,1310,0,1
0.879251701,194.6518036,44.43866035,0.931730465,2691,1551,0.576365663,75.70436275,27.49208296,0.363150576,1364,0,1
0.908240795,199.0365799,44.48161702,0.953132044,3894,1554,0.399075501,82.77385494,25.04361337,0.302554634,1411,0,1
0.874090655,192.6518036,44.59596584,0.95425424,3479,1562,0.448979592,83.98747757,25.11195321,0.298996397,1365,0,1
0.812143228,233.8650071,44.63877112,0.984223506,4557,1565,0.343427694,110.9354317,19.62776395,0.176929622,1271,0,1
0.90851187,213.1787156,44.69578107,0.972812061,4650,1569,0.337419355,94.10186248,21.79361242,0.231595973,1425,0,1
0.83060686,227.5218613,44.76694141,0.972400875,4032,1574,0.390376984,96.48289727,22.51104158,0.233316393,1307,0,1
0.852591793,200.0660172,44.83798882,0.948053479,3212,1579,0.491594022,82.12575524,26.12510506,0.318110987,1346,0,1
0.882747069,214.8355698,44.86637628,0.970070135,4575,1581,0.34557377,93.05833996,22.59688247,0.242824904,1396,0,1
0.896375991,194.7106781,44.89474579,0.95290965,1976,1583,0.80111336,83.67205691,25.37391489,0.303254346,1419,0,1
0.859231186,204.5512986,44.9514311,0.959181885,3990,1587,0.397744361,87.9388689,24.86822136,0.282789871,1364,0,1
0.872737246,197.4386002,45.00804501,0.946722454,2325,1591,0.684301075,81.9847399,26.40323536,0.322050608,1389,0,1
